entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabK,xER,xPM,
1.506,0.2366,0.08109,0.02954,0.0281,0.06137,0.007519,0.001404,0.004888,0.009957,0.01831,0.0,0.3789,0.3789,
1.507,0.2424,0.08081,0.02958,0.02812,0.06163,0.007519,0.001404,0.004888,0.01003,0.01834,0.0,0.3789,0.3788,
1.505,0.2403,0.08037,0.02957,0.02794,0.06185,0.007408,0.001404,0.004888,0.01015,0.01822,0.0,0.3789,0.3793,
1.505,0.244,0.07992,0.02968,0.02782,0.06192,0.007409,0.001404,0.004888,0.01021,0.01816,0.0,0.3789,0.3797,
1.508,0.2421,0.08019,0.02973,0.02782,0.0619,0.007441,0.001365,0.004922,0.01017,0.0191,0.0,0.3786,0.3787,
1.51,0.2404,0.07996,0.0298,0.02783,0.06202,0.007387,0.001389,0.004895,0.01022,0.0196,0.0,0.3785,0.3784,
1.51,0.2429,0.07978,0.02981,0.02784,0.06213,0.007388,0.001413,0.004871,0.01026,0.01966,0.0,0.3785,0.3783,
1.51,0.2453,0.07927,0.02993,0.02788,0.06232,0.007389,0.001477,0.004808,0.01033,0.01959,0.0,0.3786,0.3784,
1.51,0.2479,0.07881,0.02985,0.02786,0.06266,0.007428,0.001439,0.004885,0.01043,0.01943,0.0,0.3786,0.3786,
1.509,0.2512,0.07831,0.02981,0.0279,0.06279,0.007429,0.001439,0.004886,0.0105,0.01936,0.0,0.3787,0.3789,
1.509,0.2492,0.07741,0.02996,0.02794,0.06319,0.00743,0.00147,0.004917,0.01048,0.01933,0.0,0.3787,0.3792,
1.513,0.2507,0.0773,0.03005,0.02789,0.06339,0.007423,0.001468,0.004912,0.01053,0.02029,0.0,0.3784,0.3783,
1.512,0.255,0.07658,0.03002,0.02793,0.06386,0.007424,0.001468,0.004951,0.01065,0.02014,0.0,0.3785,0.3785,
1.512,0.256,0.07582,0.03011,0.02795,0.06411,0.007345,0.001468,0.00499,0.01066,0.02011,0.0,0.3786,0.3789,
1.511,0.2599,0.07533,0.03014,0.02799,0.06422,0.007345,0.001467,0.005123,0.01059,0.02004,0.0,0.3786,0.3791,
1.514,0.2626,0.07538,0.03036,0.028,0.06442,0.007341,0.001491,0.005096,0.0109,0.02037,0.0,0.3784,0.3782,
1.516,0.2636,0.07498,0.03043,0.02798,0.06447,0.007336,0.001566,0.005047,0.01087,0.02113,0.0,0.3782,0.378,
1.517,0.2699,0.07422,0.03075,0.02799,0.06476,0.007335,0.001566,0.005085,0.01096,0.02115,0.0,0.3781,0.378,
1.517,0.2691,0.07378,0.03085,0.02796,0.06481,0.007367,0.001565,0.005054,0.01112,0.021,0.0,0.3782,0.3783,
1.517,0.2721,0.07323,0.03099,0.02797,0.06491,0.007366,0.001565,0.005117,0.01124,0.02114,0.0,0.3781,0.3783,
1.517,0.2743,0.07286,0.031,0.02802,0.06508,0.007417,0.001515,0.005117,0.01139,0.021,0.0,0.3782,0.3784,
1.517,0.2789,0.07227,0.03111,0.02807,0.0653,0.007449,0.001651,0.004951,0.01139,0.02091,0.0,0.3783,0.3786,
1.516,0.2759,0.07188,0.03131,0.02812,0.06534,0.007413,0.001684,0.004911,0.01139,0.02077,0.0,0.3784,0.3788,
1.517,0.2824,0.0707,0.03148,0.02814,0.06605,0.007414,0.001684,0.004949,0.01219,0.01993,0.0,0.3784,0.379,
1.52,0.2825,0.07062,0.03147,0.02811,0.06661,0.007407,0.001721,0.004906,0.01222,0.0209,0.0,0.3781,0.378,
1.518,0.282,0.0694,0.03139,0.02815,0.067,0.007329,0.001761,0.004897,0.01235,0.02055,0.0,0.3782,0.379,
1.517,0.2845,0.06877,0.03149,0.02801,0.06723,0.00733,0.0018,0.004916,0.01251,0.0202,0.0,0.3783,0.3795,
1.517,0.2823,0.06802,0.03154,0.02797,0.0677,0.007333,0.0018,0.004975,0.01261,0.0199,0.0,0.3784,0.3798,
1.516,0.2715,0.06737,0.0316,0.028,0.06787,0.007335,0.001966,0.004867,0.01285,0.0195,0.0,0.3785,0.3802,
1.522,0.2728,0.06862,0.0317,0.02797,0.06806,0.007328,0.001965,0.004862,0.0135,0.01989,0.0,0.3781,0.378,
1.521,0.2735,0.06824,0.03171,0.02801,0.06811,0.007281,0.002003,0.004893,0.01361,0.01971,0.0,0.3782,0.3783,
1.521,0.2786,0.06803,0.03175,0.02804,0.06824,0.007146,0.00197,0.004893,0.01367,0.0198,0.0,0.3782,0.3783,
1.522,0.2765,0.06743,0.03173,0.0279,0.06849,0.007143,0.002007,0.004853,0.01404,0.02,0.0,0.378,0.3784,
1.524,0.2752,0.06785,0.03165,0.02793,0.06848,0.007209,0.001939,0.004852,0.01414,0.02027,0.0,0.3779,0.3777,
1.524,0.2777,0.06741,0.03175,0.02796,0.06854,0.007246,0.00195,0.004879,0.01415,0.02041,0.0,0.3779,0.3778,
1.524,0.2764,0.06664,0.03199,0.028,0.06856,0.007278,0.00192,0.00488,0.01427,0.02031,0.0,0.378,0.3782,
1.524,0.2768,0.0664,0.03195,0.02803,0.06872,0.007279,0.002024,0.004814,0.01436,0.02033,0.0,0.378,0.3781,
1.522,0.2776,0.06551,0.03195,0.02797,0.0688,0.007163,0.002015,0.004929,0.01444,0.02015,0.0,0.3781,0.379,
